County|Voting unit|Q1: Yes|Q2: No|Q2: Yes|Q2: No 2|Q3: Yes|Q3: No|Q4: Yes|Q4: No
Aroostook|Ludlow|55|144|109|91|110|89|104|87
York|Lyman|355|791|560|583|790|346|651|463
Washington|Machias|42|321|185|180|260|105|227|122
Washington|Machiasport|7|181|102|89|135|53|103|73
Aroostook|Macwahoc Plt.|1|11|2|10|6|6|5|6
Aroostook|Madawaska|193|618|406|409|669|145|467|327
Somerset|Madison|193|679|408|457|558|309|421|420
Oxford|Magalloway Plt.|2|8|3|7|2|8|2|8
Kennebec|Manchester|116|625|411|333|542|199|463|251
Aroostook|Mapleton|67|366|149|284|265|167|219|207
Hancock|Mariaville|14|122|46|90|76|59|51|84
Aroostook|Mars Hill|27|275|100|205|165|137|162|140
Washington|Marshfield|14|123|40|97|99|38|74|61
Aroostook|Masardis|16|43|31|28|46|13|43|15
Knox|Matinicus Isle Plt.|5|27|23|9|29|3|18|12
Penobscot|Mattawamkeag|29|111|75|65|99|40|70|64
Penobscot|Maxfield|3|17|5|15|5|15|5|14
Androscoggin|Mechanic Falls|87|649|317|422|418|318|306|417
Washington|Meddybemps|8|46|16|37|30|24|25|27
Piscataquis|Medford|9|45|21|33|26|28|25|29
Penobscot|Medway|34|252|97|188|154|129|119|164
Somerset|Mercer|23|160|97|87|114|67|81|97
Aroostook|Merrill|6|50|22|34|30|25|18|37
Oxford|Mexico|109|403|287|225|359|155|258|253
Washington|Milbridge|40|231|150|122|187|80|144|118
Penobscot|Milford|67|506|293|283|364|206|296|256
Penobscot|Millinocket|220|980|657|538|837|356|639|527
Piscataquis|Milo|57|352|200|208|265|140|227|170
Androscoggin|Minot|81|638|286|433|429|290|367|332
Lincoln|Monhegan Plt.|5|47|47|5|46|6|43|7
Kennebec|Monmouth|206|947|633|520|838|312|700|415
