County|Voting unit|Q1: Yes|Q2: No|Q2: Yes|Q2: No 2|Q3: Yes|Q3: No|Q4: Yes|Q4: No
Somerset|Skowhegan|276|1183|734|724|949|510|735|691
Somerset|Smithfield|48|220|119|148|180|88|137|121
Aroostook|Smyrna|9|44|29|25|38|16|30|21
Somerset|Solon|45|220|135|130|169|96|135|125
Somerset|Somerset Cty Townships|18|78|44|52|71|23|50|42
Lincoln|Somerville|26|124|69|83|88|64|88|58
Hancock|Sorrento|10|112|76|46|92|29|75|40
York|South Berwick|337|1339|1129|547|1319|349|1187|421
Lincoln|South Bristol|29|314|230|117|278|67|224|108
Cumberland|South Portland|1305|5924|5525|1718|5937|1262|5163|1728
Knox|South Thomaston|36|389|264|158|319|105|284|125
Lincoln|Southport|30|249|160|118|206|72|188|87
Hancock|Southwest Harbor|66|496|374|188|458|104|378|162
Penobscot|Springfield|10|54|24|42|29|34|23|39
Somerset|St. Albans|69|347|145|274|215|198|186|224
Aroostook|St. Francis|24|55|50|29|63|16|44|33
Knox|St. George|97|762|571|283|678|168|549|259
Aroostook|St. John Plt.|16|43|38|21|49|10|33|25
Penobscot|Stacyville|45|129|94|80|91|76|64|97
Cumberland|Standish|415|1542|1073|888|1334|622|1147|759
Somerset|Starks|18|114|74|57|89|41|64|61
Penobscot|Stetson|39|243|105|176|153|128|127|150
Washington|Steuben|41|206|140|107|172|74|132|101
Aroostook|Stockholm|23|62|48|37|70|14|42|41
Waldo|Stockton Springs|57|481|323|215|389|150|335|193
Oxford|Stoneham|9|74|57|26|60|23|47|34
Hancock|Stonington|16|231|163|82|201|45|148|91
Oxford|Stow|11|66|52|26|58|20|45|30
Franklin|Strong|45|256|128|170|178|121|152|135
Hancock|Sullivan|50|277|186|139|228|95|183|126
Oxford|Sumner|31|225|122|134|156|100|115|135
Hancock|Surry|52|500|344|209|407|143|344|184
Hancock|Swans Island|15|120|68|67|87|48|78|53
Waldo|Swanville|41|249|147|143|174|118|156|126
Oxford|Sweden|14|96|74|37|87|24|71|34
Washington|Talmadge|2|17|10|9|8|11|7|12
Franklin|Temple|26|127|89|65|111|43|89|58
Somerset|The Forks Plt.|2|18|9|11|13|7|7|13
Knox|Thomaston|96|541|417|223|501|133|437|179
Waldo|Thorndike|21|166|91|97|109|79|87|93
Washington|Topsfield|4|53|15|42|25|32|22|35
Sagadahoc|Topsham|486|2526|1925|1091|2302|702|1995|895
Hancock|Tremont|53|598|299|158|344|108|290|153
Hancock|Trenton|32|313|190|158|244|102|211|125
Waldo|Troy|28|196|105|118|136|88|103|111
Androscoggin|Turner|218|1217|598|838|859|570|695|714
Knox|Union|77|583|351|306|467|193|411|223
Waldo|Unity|47|307|183|171|239|115|204|142
Oxford|Upton|3|18|7|14|12|9|9|12
Aroostook|Van Buren|105|243|202|146|274|70|201|132
Washington|Vanceboro|28|17|20|25|28|17|18|27
Kennebec|Vassalboro|170|935|535|561|707|394|616|452
Penobscot|Veazie|61|419|292|187|364|113|323|145
Hancock|Verona Island|12|125|79|59|99|39|73|61
Kennebec|Vienna|22|173|115|79|143|51|130|63
Knox|Vinalhaven|58|284|251|93|282|60|229|101
Aroostook|Wade|16|40|29|27|36|20|31|23
Washington|Waite|5|15|9|11|11|10|6|14
Waldo|Waldo|26|149|99|74|114|59|96|72
Lincoln|Waldoboro|179|1094|684|587|897|370|755|482
Androscoggin|Wales|60|294|110|243|159|191|162|173
Aroostook|Wallagrass|19|85|56|49|88|17|61|43
Hancock|Waltham|10|87|35|62|48|49|46|51
Knox|Warren|113|743|408|446|531|319|454|371
Aroostook|Washburn|70|263|141|191|212|121|190|137
Knox|Washington|59|341|228|173|264|135|204|183
Washington|Washington Cty Townships|0|0|0|0|0|0|0|0
York|Waterboro|452|919|705|662|840|529|724|603
Oxford|Waterford|26|374|219|181|275|125|217|169
Kennebec|Waterville|731|2767|2389|1122|2722|760|2266|1074
Kennebec|Wayne|47|362|278|132|324|84|270|128
Penobscot|Webster Plt.|4|10|12|2|11|3|8|6
Franklin|Weld|29|137|79|88|107|61|96|55
Piscataquis|Wellington|9|43|31|21|32|20|27|25
York|Wells|596|2599|1832|1349|2491|679|2111|964
Washington|Wesley|4|37|14|27|19|22|20|20
Sagadahoc|West Bath|82|548|351|278|470|161|378|229
Somerset|West Forks Plt.|0|0|0|0|0|0|0|0
Kennebec|West Gardiner|141|717|370|488|516|337|433|405
Oxford|West Paris|37|382|209|208|262|155|220|185
Cumberland|Westbrook|974|2998|2613|1359|2891|1062|2503|1322
Aroostook|Westfield|22|98|60|61|72|47|61|54
Aroostook|Westmanland|3|28|13|18|25|6|17|14
Aroostook|Weston|8|58|26|39|41|25|35|29
Lincoln|Westport Island|45|244|160|133|216|78|179|102
Lincoln|Whitefield|74|589|384|280|446|213|401|235
Washington|Whiting|8|162|92|76|111|58|96|70
Washington|Whitneyville|3|39|18|24|22|20|12|28
Piscataquis|Willimantic|4|47|17|33|26|24|24|24
Franklin|Wilton|142|757|460|441|568|328|516|365
Cumberland|Windham|784|3076|2136|1713|2548|1287|2234|1489
Kennebec|Windsor|90|428|210|305|329|186|253|247
Penobscot|Winn|10|52|24|37|32|30|23|35
Kennebec|Winslow|496|1828|1220|1096|1548|764|1241|1015
Hancock|Winter Harbor|19|165|107|76|144|39|112|63
Waldo|Winterport|75|759|430|402|551|280|476|335
Aroostook|Winterville Plt.|17|42|34|25|44|15|31|28
Kennebec|Winthrop|312|1434|1022|726|1296|451|1123|574
Lincoln|Wiscasset|177|840|535|483|719|286|627|344
Aroostook|Woodland|57|214|108|164|178|92|148|115
Oxford|Woodstock|29|318|171|178|206|140|167|172
Penobscot|Woodville|5|36|10|31|17|24|12|29
Sagadahoc|Woolwich|132|846|544|432|702|268|590|343
Cumberland|Yarmouth|318|2682|2138|902|2443|444|2132|792
York|York|643|3941|3149|1404|3835|677|3302|1009
