CTY,TOWN,Terry Hayes,Janet Mills,Shawn Moody,Others,Blank,TOTAL VOTES CAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIS,Abbot,21,106,179,0,6,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR,Acton,78,445,685,0,29,"1,237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,Adamstown/Lower Cupsuptic Twps (Rangeley),0,2,3,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,Addison,26,221,298,0,7,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXF,Albany Twp,30,102,112,0,8,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Albion,68,297,569,0,18,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,Alexander,7,74,154,1,6,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR,Alfred,108,719,707,0,32,"1,566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARO,Allagash,5,59,57,0,7,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIN,Alna,25,271,167,0,8,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEN,Alton,16,133,215,0,7,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAN,Amherst,9,50,77,0,4,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARO,Amity,2,28,62,0,3,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXF,Andover,37,164,230,0,12,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,Anson,54,348,480,0,20,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNO,Appleton,28,391,314,22,0,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEN,"Argyle Twp  (Alton, Edinburg & Penobscot Nation)                                                                                                                                    ",7,22,38,0,1,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAG,Arrowsic,13,225,85,0,9,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR,Arundel,125,894,"1,007",0,45,"2,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARO,Ashland,41,149,251,0,20,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,Athens,17,154,205,0,9,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIS,Atkinson,17,53,119,0,16,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,Auburn,700,"4,578","4,235",13,229,"9,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Augusta,440,"4,018","3,098",0,156,"7,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAN,Aurora,4,18,36,0,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,Avon,17,69,109,0,3,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,Baileyville,24,217,283,0,12,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUM,Baldwin,36,247,491,0,14,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEN,Bangor,726,"7,116","4,464",2,350,"12,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAN,Bar Harbor,147,"2,133",624,0,61,"2,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,Baring Plt,5,41,38,0,2,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
