Company,Maine HQ?,Bank?,CEO pay,Median pay,Ratio
Idexx,y,n,6665351,55202,121:1
WEX,y,n,10847606,62621,173:1
ImmuCell,y,n,,,
Unum,y,n,9683946,62650,155:1
Camden National,y,y,2040023,43313,47:1
Bar Harbor Bankshares,y,y,1203034,46610,26:1
The First Bancorp,y,y,735938,45237,14.7:1
Northeast Bancorp,y,y,,,
Texas Instruments,n,n,16573019,78951,210:1
ON Semiconductor,n,n,10733131,11035,972:1
General Dynamics,n,n,21501429,98563,218:1
